Nev;Kategoria;Energia_kj;Energia_kcal;Feherje_g;Zsir_g;Szenhidrat_g
Retek, hónapos;Zöldség- és főzelékfélék, gyümölcsök;63;15;1.2;0.1;2.2
Ribizke, fekete;Zöldség- és főzelékfélék, gyümölcsök;197;47;0.9;2;9.5
Ribizke, vörös;Zöldség- és főzelékfélék, gyümölcsök;138;33;0.6;1.2;7
Ringló;Zöldség- és főzelékfélék, gyümölcsök;247;59;0.8;0.8;13.5
Rizs, hántolt;Gabonafélék;1443;345;8;0.3;77.5
Rizsliszt;Gabonafélék;1370;325;6.9;0.6;79.4
Rozskenyér;Kenyérfélék;1067;255;8.1;0.9;53.6
Sárgabarackdzsem, üveges;Zöldség- és főzelékfélék, gyümölcsök;1090;260;0.4;0.3;64.5
Sárgaborsóliszt;Hüvelyesek;1522;362;27.2;1.3;60.5
Sárgarépa;Zöldség- és főzelékfélék, gyümölcsök;146;35;1.2;0.2;8.1
Sertéscomb, karaj;Hús és húskészítmények;668;159;21;8.1;0.4
Sertéscsülök;Hús és húskészítmények;1369;326;16;29;0.3
Sertésdagadó;Hús és húskészítmények;1772;422;12;42;0.3
Sertéslapocka;Hús és húskészítmények;1201;286;17.5;23.9;0.3
Sertésmáj;Hús és húskészítmények;569;136;19.5;5.3;2.5
Sertésmájkrém;Hús és húskészítmények;780;185;9.4;14.7;4.1
Sertésmájkrém, hosszúkás;Hús és húskészítmények;1290;310;20;25.5;0
Sertésnyelv;Hús és húskészítmények;891;213;16.8;16;0.5
Sertészsír;Zsiradékok;3757;898;0.1;99.7;0
Sertésszív;Hús és húskészítmények;402;96;16.9;3;0.4
Somogyi csípős kolbász;Hús és húskészítmények;1420;340;11.6;32.5;0
Sonkaszalámi;Hús és húskészítmények;665;159;21.2;8.2;0.2
Sóska;Zöldség- és főzelékfélék, gyümölcsök;96;23;2.4;0.5;2.3
Spárga;Zöldség- és főzelékfélék, gyümölcsök;67;16;2;0.1;1.8
Sportrobi;Erjesztett tejtermékek;1612;384;83;3.5;5
Sűrített tej, cukrozott;Erjesztett tejtermékek;1284;317;8.5;7;54.9
Sütőtök;Zöldség- és főzelékfélék, gyümölcsök;322;77;1.5;0.6;16.5
Szaloncukor, konzum;Édesipari termékek;1540;368;0.1;0.1;91.6
Szalonna, füstölt;Zsiradékok;2900;693;9;73;0
Szamóca (földieper);Zöldség- és főzelékfélék, gyümölcsök;142;34;0.9;0.6;7.2
Száraztészta, 2 tojásos;Tészták;1590;380;14;2.6;75.1
Száraztészta, 4 tojásos;Tészták;1598;382;15;3.4;72.9
Száraztészta, 8 tojásos;Tészták;1638;390;17;5;69.2
Szardínia, olajos;Halak és halkészítmények;1184;283;22.5;21.4;0
Szárnyasfelvágott;Hús és húskészítmények;920;220;18.8;16;0
Szarvashús;Hús és húskészítmények;502;120;20.7;3.9;0.6
Szeder;Zöldség- és főzelékfélék, gyümölcsök;134;32;0.8;1.8;6
Szekszárdi csemege sajt;Erjesztett tejtermékek;1474;351;26;26.8;1.5
Szendvicsvaj;Zsiradékok;2654;632;0.3;70;0.3
Szepesi virsli;Hús és húskészítmények;1347;322;14.2;29.4;0.2
Szigetközi sajt;Erjesztett tejtermékek;1201;286;24.9;20;1.5
Szilva;Zöldség- és főzelékfélék, gyümölcsök;238;57;0.7;0.5;13.1
Szilvabefőtt;Zöldség- és főzelékfélék, gyümölcsök;380;90;0.4;0.3;21.9
Szójagranulátum;Hüvelyesek;2150;512;45;20.6;18.3
Szójaliszt (teljes);Hüvelyesek;2150;512;41.6;28.5;22.1
Szójaliszt (zsírtalanított);Hüvelyesek;1378;328;47.3;0.6;33.4
Szójás kenyér;Kenyérfélék;916;218;14.9;0.5;38.5
Szőlő;Zöldség- és főzelékfélék, gyümölcsök;318;76;0.6;0.5;18.1
Teasajt;Erjesztett tejtermékek;1247;297;21.7;22.5;2
Tehéntej, homogénezett, pasztőrözött;Tej és tejtermékek;281;67;3.4;3.6;5.3
Tehéntej, pasztőrözött;Tej és tejtermékek;252;60;3.4;2.8;5.3
Tehéntej, részben fölözött;Tej és tejtermékek;202;48;3.4;1.5;5.3
Tehéntúró, félzsíros;Erjesztett tejtermékek;600;143;16.2;7;3.7
Tehéntúró, sovány;Erjesztett tejtermékek;318;76;14.1;0.5;3.8
Tehéntúró, zsíros;Erjesztett tejtermékek;823;197;17.9;12.4;3.5
Tej, ultrapasztőrözött, tartós;Tej és tejtermékek;256;61;3.4;3;5.1
Tejes fagylalt;Édesipari termékek;720;172;4.3;3.8;30.1
Tejes kukorica;Zöldség- és főzelékfélék, gyümölcsök;531;127;4.7;1.6;23.6
Tejföl;Erjesztett tejtermékek;723;173;3.3;16;3.9
Tejföl, energiaszegény;Erjesztett tejtermékek;575;137;3.4;12;4
Tejkaramella;Édesipari termékek;1835;438;2.2;11.4;81.6
Tejpor, sovány;Erjesztett tejtermékek;1555;372;36;2;50.3
Tejpor, zsíros;Erjesztett tejtermékek;2060;493;25.5;27;37
Tejszín krémsajt;Erjesztett tejtermékek;1083;259;2.8;26.2;3.1
Tejszínhabpótló por   ;Édesipari termékek;2016;480;4.9;32.9;39.6
Téliszalámi;Hús és húskészítmények;2159;516;25.1;46.1;0.3
Tenkes sajt;Erjesztett tejtermékek;1109;265;27.8;16.3;1.9
Tepertő;Zsiradékok;3337;797;12.1;83.2;0
Tettye sajt;Erjesztett tejtermékek;1491;355;15.6;31.6;2.1
Tibi tejcsokoládé;Édesipari termékek;2385;570;7.7;36.8;52.1
Tojáspor, teljes;Tojások;2347;561;44.7;40.1;5.2
Torma;Zöldség- és főzelékfélék, gyümölcsök;328;78;2.7;0.4;15.9
Tök (főző, spárga);Zöldség- és főzelékfélék, gyümölcsök;126;30;1.1;0.1;6.1
Tőkehalfilé;Halak és halkészítmények;364;87;19.4;0.5;1.2
Tőkehalszelet, olajos;Halak és halkészítmények;1113;266;16.1;22.4;0
Tökmag;Olajos magvak;2862;636;33.9;51.5;3.6
Töltetlen savanyú, erős, mézcukorka;Édesipari termékek;1660;396;0;0;98.9
Trappista sajt;Erjesztett tejtermékek;1554;370;27.7;28.1;1.6
Túra, sovány tömbsajt;Erjesztett tejtermékek;781;186;25.7;8.4;2
Túrókrém epres, kajszis, meggyes hab;Erjesztett tejtermékek;553;132;7.2;4.7;15.3
Tyúkhús;Hús és húskészítmények;739;176;19;6.5;0.4
Tyúktojás, egész;Tojások;686;164;13.5;12;0.6
Uborka;Zöldség- és főzelékfélék, gyümölcsök;62;15;1;0.1;1.7
Vadász sajt;Erjesztett tejtermékek;1298;309;23.9;22.9;1.8
Vadászfelvágott;Hús és húskészítmények;992;237;16.3;19;0.2
Vaddisznó, színhús;Hús és húskészítmények;460;110;21.6;2.4;0.4
Vadkacsahús;Hús és húskészítmények;506;121;22.7;3.1;0.5
Vaj;Zsiradékok;3026;724;0.4;80;0.5
Vajkrém;Zsiradékok;1604;382;2.5;40;2
Vargánya;Zöldség- és főzelékfélék, gyümölcsök;168;40;5.7;0.2;3.8
Vasi sajtkrém;Erjesztett tejtermékek;1612;385;5.5;38.5;2
Véreshurka;Hús és húskészítmények;1218;291;13.1;23;8
Veronai felvágott;Hús és húskészítmények;1172;280;14.6;24.5;0.2
Virsli;Hús és húskészítmények;967;231;12.5;20;0.2
Vörös káposzta;Zöldség- és főzelékfélék, gyümölcsök;130;31;1.7;0.2;5.7
Vöröshagyma;Zöldség- és főzelékfélék, gyümölcsök;163;39;1.2;0.1;8.3
Zabpehely;Gabonafélék;1579;376;14.4;6.8;64.3
Zalai felvágott;Hús és húskészítmények;1016;242;15.6;19.9;0.6
Zalai füstölt sajt;Erjesztett tejtermékek;1457;347;25.2;26.6;1.7
Zellergumó;Zöldség- és főzelékfélék, gyümölcsök;121;29;1.4;0.3;5
Zöldbab;Zöldség- és főzelékfélék, gyümölcsök;167;40;2.6;0.3;6.8
Zöldborsó;Zöldség- és főzelékfélék, gyümölcsök;368;88;7;0.4;14
Zöldborsós kolbász;Hús és húskészítmények;2010;480;23;42;2
Zöldpaprika;Zöldség- és főzelékfélék, gyümölcsök;84;20;1.2;0.3;3
Zselatin;Édesipari termékek;1562;372;93;0;0
Zsemlemorzsa;Gabonafélék;1431;342;10.2;0.9;73.3
